Title																				,Podficcer,Author,Ship,Link
GOODNIGHT FROM YOUR FUTURE HUSBAND,sweaters_in_the_summer,GallaPlacidia,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41967021
Grand Noble,fire_juggler,Celestlyn,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/309311
Green Light,Magical Tales from the Slytherin Common Room,SereneMusafir,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7KeBgmd6yqA33zp2e8TEAS?si=79debcb83ed249bc
"Green Pastures, Still Waters",EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385571
Grimly Familiar,RoastedOats,anonymousmagpie,Harry Potter,https://archiveofourown.org/works/45105415/chapters/113467582
Grow in the Garden,fire_juggler,Kerplankia,Neville Longbottom/Draco Malfoy,https://archiveofourown.org/works/542910
Gryffindors Never Kiss and Tell,RattleandHum,FeelsForBreakfast,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/37660090
Guardian Angel,Podfics by Juuls,noxsoulmate,Hermione Granger/Harry Potter,https://archiveofourown.org/works/47151136
Hairdressed for Success,smirkingcat,meandminniemcg,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/28190592
Halloween,picascribit,picascribit,"Sirius Black, Remus Lupin, James Potter, Peter Pettigrew",https://archiveofourown.org/works/926736
Harriet Potter,KwikQuotesQuill,KwikQuotesQuill,Harriet Potter/Severus Snape,https://open.spotify.com/episode/2r8AltZQQVMz5j7dI95sw9?si=56cbeaf800bd44fa
Harry Likes to Touch & Warmth,fire_juggler,"Vaysh, alovelycupoftea",Draco Malfoy/Harry Potter,https://archiveofourown.org/works/309319
Harry Potter and the Curse of the Malfoy Dildo,Aibidil,Aibidil,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/18247466
Harry Potter and the Den of Snakes,RoastedOats,orphan_account,Harry Potter,https://archiveofourown.org/works/40663929/chapters/101886495
Harry Potter and the Department of Mysteries - TTS,BurningAurora,thewholeofthemoon,Sirius Black/Remus Lupin,https://archiveofourown.org/works/54169333
"Harry Potter and the Dog and the Wolf: Part 1, Hope's Cottage ",BurningAurora,thewholeofthemoon,Sirius Black/Remus Lupin,https://archiveofourown.org/works/42324105
"Harry Potter and the Dog and the Wolf: Part 2, Harry Potter and the Two-Way Mirror ",BurningAurora,thewholeofthemoon,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44048403/chapters/110752746
"Harry Potter and the Dog and the Wolf: Part 3, Harry Potter and the Department of Mysteries - TTS",BurningAurora,thewholeofthemoon,Sirius Black/Remus Lupin,https://archiveofourown.org/works/54169333
Harry Potter and The Methods of Rationality,Jack Voraces,Eliezer Yudkowsky,Harry Potter,https://open.spotify.com/episode/4sletZWSEcOi0q69FaZ8BF?si=7c0f2f4ed3844c68
Harry Potter and the Philosopher's Snake,SecondStateOfMatter,gonzoclock,Harry Potter,https://archiveofourown.org/works/51349591/chapters/129753283
Harry Potter Miss Drew's Class Year 4- TTS,BurningAurora,SquintClover,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44027103
Harvest,Ashata,HelloCheshire,Sirius Black/Remus Lupin,https://archiveofourown.org/works/51040105
Haunted,EllaMcSmellBella,bentnotbroken1,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42032004
Haunted,dm.hg,paintedteeth,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5WoykGkkCO8MoR9SDadOlh?si=c3f944ae4024401c
He Hated Her,SilverMiss Fanfiction,,Hermione Granger/Tom Riddle,https://open.spotify.com/episode/3lZvx7xGMkJnXLAWpbPNmj?si=2887878886024eb9
Heal Thyself,lazulus,astolat,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/38393641
Healing Hands,picascribit,picascribit,Poppy Pomfrey/Pomona Sprout,https://archiveofourown.org/works/23075767
Healing Words,Amanita_Fierce,wynnebat,Harry Potter/Severus Snape,https://archiveofourown.org/works/38912493
Heaven is Here (If You Want It) - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,https://open.spotify.com/episode/2RqS7304U4m94ejD4kx5f7?si=1715d40e7fb44ad0
Heaven Through a Window,JocundaSykes,JocundaSykes,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/31237361
Height,EllaMcSmellBella,SenLinYu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42370086
Height,The Dramione Archives,SenLinYu,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/4s5SYXtylhCLT5rsW32Iz0?si=0eef33728d4340e4
hello goodbye ('twas nice to know you),smirkingcat,tamerofdarkstars,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27914188
help me hold onto you - TTS,BurningAurora,soloorganaas,Sirius Black/Remus Lupin,https://archiveofourown.org/works/46257418
Her Beauty and the Moonlight,The Dramione Archives,BrilliantLady,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/60K72cAHKbG1cEAI10kKYK?si=ebd38dd1aa334da4
Her Indomitable ,EllaMcSmellBella,Art3misiA,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41704170
Her Lips Alone,UnholyCrowley,leydileyla,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40894800
Here and Present,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43666617
Here and Present,The Dramione Archives,Musyc,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3UkOPjCjxI75NCw8QlQfAA?si=66d42032b32a470e
Hermione Granger's Hogwarts Crammer for Delinquents on the Run,Drarry Audiofics,Waspabi,Draco Malfoy/Harry Potter,https://open.spotify.com/show/7zJavdLYIuuUbC4FPgba6K?si=8d6c874a4b9745e0
Hero Complex,EllaMcSmellBella,Tygermine,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41117472
Hey Princess,The Dramione Archives,Madzola,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5pYiiJl7r97QoPhbC3Ru3E?si=3ee954bc26994e12
Hide and Seek,micha_making_podfics,JulietsEmoPhase,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/1pYlD40XrGQiIGmmZQxQj9?si=d65ad33a8dbc4323
hide the path so quietly,EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50141947
Higher and Higher,seeking_semperfiona,birdsofshore,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/18106463
Highland Fling,picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/919977/chapters/1786371
Hints From Severus,JocundaSykes,"cruisedirector, Dementordelta",Harry Potter/Severus Snape,https://archiveofourown.org/works/44115576
Hippogriff Biscuits and Gingerbread Houses,ETL_Echo_Audiobooks,ArielSakura,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43675803
His,reena_jenkins,shadowglove88,Hermione Granger/Tom Riddle,https://archiveofourown.org/works/298134
Hold Me Close (and never let go),Eden,tealeaves_bookpages,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/0oBKAvLFThEIXUfM1w18Ov?si=81c50db458164d5e
Hold On a Little Longer,EllaMcSmellBella,Spork_in_the_Road,James Potter/Lily Evans Potter,https://archiveofourown.org/works/41704065
holding my breath,ETL_Echo_Audiobooks,OneEqualTemper,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/47473138
Holiday Suprise,EllaMcSmellBella,Demondog136,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43407646
Home,EllaMcSmellBella,Amarillis39 and MissMrah,Theodore Nott/Harry Potter,https://archiveofourown.org/works/39701886
"Home Again, Home Again","Amanita_Fierce, christchex, Flowerparrish Multivoices (Flowerparrish), Jet_pods (Jetainia), JocundaSykes, kittona multivoice pods (kittona), LenaReads (LenaLawlipop), Ravin_Pods (Ravin), twtd, UnholyCrowley, with (bluedreaming)",pir8fancier,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/39277755
"Home Again, Home Again",JocundaSykes,pir8fancier,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/39277755
Honey If I'm Not,BrigidFaye,BrigidFaye,Sirius Black/Remus Lupin,https://open.spotify.com/episode/6wWDxkc7jId1o5NcUhGsWG?si=4b8894f8c4e84383
Honeymoon Preparations,inmyownlittle_podfic_corner,teh_kris_eh,Hermione Granger/Pansy Parkinson,https://archiveofourown.org/works/44808898
hope is a dangerous thing for a woman like me to have,Dramione Podfics,ellieauthor,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/02rKsTBhQMRhtwnuIrW0Sp?si=9d233f764ad44d31
Hot For Teacher,The Dramione Archives,MotherofBulls,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2FKFwqNMNwjoujL0ZiwAPY?si=4bb03588e1ba40eb
House Proud,lazulus,astolat,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7298308
House Unity,ETL_Echo_Audiobooks,tryslora,Neville Longbottom/Draco Malfoy,https://archiveofourown.org/works/52303816
How Fair the Vine,Julie Walton,thebrightcity,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/23GPXTvbPOSKrccqdMtlQL?si=40eb0690493a4475
How to Court Your Husband,peaceinpanem,magpie_fngrl,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50444392
How wonderful life is (now you’re in my world),BurningAurora,NeonDomino,Sirius Black/Remus Lupin,https://archiveofourown.org/works/47782576
Human,reveriepi,acari,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/46094890/chapters/116036362
Hungry Moon - TTS,BurningAurora,TracingPatterns,Sirius Black/Remus Lupin,https://archiveofourown.org/works/46477006
Hyderabadi Pearl,ETL_Echo_Audiobooks,LakeWitch,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51314344
i am not a mother,Dramione Podfics,,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0vssaVsV7x4TUKfYaK3Mtw?si=2ccd58c451934ac2
I Am Not Who I Became,DemonFeedAudio,mab_di,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50540317
I Can See Clearly,JocundaSykes,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/31906753
I Can See You,peaceinpanem,peaceinpanem,Sirius Black/Remus Lupin,https://archiveofourown.org/works/48639523
I Could Never Hate You,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7paiwATBZnC7NCrZK6teag?si=HxRs6lZiR-mHxBYEKBS_wg
"I dream of you, to wake",reveriepi,harryromper,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47813149
I Found Love Where It Wasn't Supposed To Be,The Dramione Archives,dittanyanddreams,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/6Ji23crj3Kto99laWhz9or?si=dc7a95ade67a4eb1
I found you,peaceinpanem,de_sire,Sirius Black/Remus Lupin,https://archiveofourown.org/works/50000437
I Must Not Tell Lies,fire_juggler,elmyraemilie,Harry Potter/Severus Snape,https://archiveofourown.org/works/1255510
I Thought You'd Never Ask,smirkingcat,DrWhoIsGinnyHolmes,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52643140
I Wanna Learn a Love Song,ETL_Echo_Audiobooks,HeyJude19 ,Pansy Parkinson/Ron Weasley,https://archiveofourown.org/works/41115744
"I, Ferret",reveriepi,curiouslyfic,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/49882315
I'm Here,micha_making_podfics,Ladderofyears,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47034919
I'm Never Lonely When I'm With You,EllaMcSmellBella,PacificRimbaud,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43666665
I’ve Been Watchin' You for Ages,JocundaSykes,emeraldlove,Sirius Black/Severus Snape,https://archiveofourown.org/works/53013481
Ice,EllaMcSmellBella,senlinyu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43630275
Ice,Flowerparrish Pods,senlinyu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42431484
Idita-Ruff - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,https://archiveofourown.org/works/53612095
If These Walls Could Talk,Queenie_Mab,calrissian18,Draco Malfoy/Albus Severus Potter,https://archiveofourown.org/works/2143638
If you kiss me will it be just like I dreamed it?,peaceinpanem,peaceinpanem,Sirius Black/Remus Lupin,https://archiveofourown.org/works/48639637
Illumination,EllaMcSmellBella,In_Dreams,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41780844
Imaging Us,digthewriter,wildfried0815,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52688047
Impossible Marks and Butterflies,Adrija Choudhury,KitWrite,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/4coxtIxLlbhyA6Okp1enj1?si=7242203bca53404d
Impress Upon,EllaMcSmellBella,senlinyu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43630311
Impress Upon You,ETL_Echo_Audiobooks,senlinyu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/46025752
In A Jam,EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50141794
In A Smile,wilfriede0815,BleepBloopBotz,Bartemius Crouch Jr.'s Mother/Hepzibah Smith,https://archiveofourown.org/works/50272777
In Bad Faith,fencer_x,"fencer_x, SoldSeparately",Draco Malfoy/Harry Potter,https://archiveofourown.org/works/49630156/chapters/125265136
In Love,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7i2uCHjB12MwM6YHlo8MSx?si=SQf-znWrTJK6kycNK1acKQ
In Need of a Proper Hug,Heartless Podfics,FaithWood,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/2iYI32xqSeeyzEidRd9XeC?si=6ccb2f0c7f9944de
In the Bed,picascribit,saintgarbanzo,Sirius Black/Remus Lupin,https://archiveofourown.org/works/12215256/chapters/27743901
In the Bleak Midwinter,Sam Gabriel,TheLoud,Hermione Granger/Tom Riddle Sr.,https://open.spotify.com/episode/6sEUhynAhz9TCDuyjXVjgB?si=61753fa330df403b
In The Eye Of The Beholder,EllaMcSmellBella,Amarillis39 and MissMrah,Theodore Nott/Harry Potter,https://archiveofourown.org/works/39403698
In Your Memory (We Never Existed) - TTS,BurningAurora,arthurianavalon,Sirius Black/Remus Lupin,https://archiveofourown.org/works/47341417
In-Dentured Love,ETL_Echo_Audiobooks,forgotten_traveler,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41115777
Indulgence,ETL_Echo_Audiobooks,Inadaze22,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/38194819
ink and paper prayers,Podfics by Juuls,kitsunerei88,Cho Chang/Cedric Diggory,https://archiveofourown.org/works/37919866
Innocent Monsters,The Dramione Archives,itscometothis,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5Yi4fLpxjMsha9CweKL0oJ?si=f0d335b53041469c
Inside These Walls,Albuss,Jackvbriefs,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/44820670
Insomnia,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138817
Insufferable Insatiability,ETL_Echo_Audiobooks,HeyJude19 ,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43521943
Interviewing the Fallen,JocundaSykes,Elfflame,Rabastan Lestrange,https://archiveofourown.org/works/38913942
Into The Unknown,2wq,Kastaka,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/222036
Intrinsic Charm,ETL_Echo_Audiobooks,Arsenic,Luna Lovegood/Severus Snape,https://archiveofourown.org/works/50985100
Invitation,wilfriede0815,OTPshipper98,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50272870
Iris,The Dramione Archives,AurorNyx,Hermione Granger/Draco Malfoy/Theodore Nott,https://open.spotify.com/episode/2cZwII03NeWjdz1Sr3VLKy?si=e0b441ed7a484d80
Is This Ok?,inmyownlittle_podfic_corner,xxDustNight88,Narcissa Black Malfoy/Lily Evans Potter,https://archiveofourown.org/works/44493262
Isolation,FNox,bexchan,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/01ckEH4fMs4PzJmuoAByP5?si=b4909897a01b47cb
Isolation,The Dramione Archives,bexchan,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5Z93mP17vm3Fs1eamRDzwT?si=2adb59a507824367
It was all just a game,skila,write_me227,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/1ygSE62OI6hURnQlS5fkvI?si=19e4a623f67e4245
It Wouldn't Be An Adventure Without You,BurningAurora,myheadsgonenumb,Sirius Black/Remus Lupin,https://open.spotify.com/episode/5TQCbRco46FXD2UEBnrRP3?si=31550afc3f1a43e3
It Wouldn't Be An Adventure Without You - TTS,BurningAurora,myheadsgonenumb,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45869572
It's a Keeper,Flowerparrish Pods,sophh,Katie Bell/Alicia Spinnet,https://archiveofourown.org/works/43688257
"It's a Sweet Thing, Sweet Thing",micha_making_podfics,MacksDramaticShenanigans,Sirius Black/Remus Lupin,https://open.spotify.com/episode/7uj3koMuuT3bruPHQBg8tO?si=c3d00cb90ee5466a
It's Always Been You,SilverMiss Fanfiction,colubrina,Hermione Granger/Harry Potter,https://open.spotify.com/episode/0y0AinNAuhN68us8JsyJ8n?si=516faf2eba9a4ca9
"It's Called Fashion, Potter",ETL_Echo_Audiobooks,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41935656
It’s Saturday; Remind Me I’m Alive,Static_Whisper,Drarrelie,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/32712064/chapters/81154639
"It's the Great Pumpkin, Harry Potter",EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/49837180
James Isn't Stupid,"reena_jenkins, RevolutionaryJo, Rhea314 (Rhea)",rageprufrock,Sirius Black/Remus Lupin,https://archiveofourown.org/works/13208709
Just a Touch of Your Love,sweaters_in_the_summer,sunsetmog,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51310516
Just Like That,ETL_Echo_Audiobooks,Plume,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/38194999
Just Sex,picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/935283
Kaleidoscope,ETL_Echo_Audiobooks,HeyJude19,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43757124
Keep It Like a Secret,meems_toanend,PacificRimbaud,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/52804000
Keep Your Eyes on Me,ETL_Echo_Audiobooks,ahhhnorealnamesallowed,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/45519463
kindling and memory,Cailynwrites,leftsidedown,Fleur Delacour/Nymphadora Tonks,https://archiveofourown.org/works/52004389
King's Crossing,reveriepi,LowerEastSide,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/48913933/chapters/123397837
Kingdom Come,cnova corresponds,indadaze22,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7iu9z4AN0rCIGtuFA9iduP?si=3944e6b7191549a6
Kiss Me Quick,ETL_Echo_Audiobooks,Kyonomiko,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/49831795
"Kiss Me, Haunt Me, Kill Me",EllaMcSmellBella,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41703702
"Kiss Me, I'm Desperate",The Dramione Archives,Sparkly_Bee,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5Ku08IXXXY5PBl9DvT3lBg?si=2187e5297bf54cca
Knitting Hats for Puppies,Cailynwrites,ArielSakura,Harry Potter/Bill Weasley,https://archiveofourown.org/works/51946177
Kriegspiel,JocundaSykes,Mad_Maudlin,Lucius Malfoy/Ron Weasley,https://archiveofourown.org/works/31138808
Labyrinth of Love,Podfics by Juuls,noxsoulmate,Harry Potter/Blaise Zabini,https://archiveofourown.org/works/47207320
Lady of the Lake,OnePaw Reads Fanfiction,Colubrina,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/4ixdSJq2CWrKiTRD5fv06l?si=9b8cc94d907c4cb6
"Landlocked, Oceanbound",lumosauxnight,nanneramma,Luna Lovegood/Pansy Parkinson,https://archiveofourown.org/works/50340709
Landslide,mothlights,Libby Drew,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/1324750
Lately She's Been Dressing for Revenge,wilfriede0815,thistlecat,Rita Skeeter/Marietta Edgecombe,https://archiveofourown.org/works/50272837
Lattes and Larceny,ETL_Echo_Audiobooks,eveningstruggle,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43758586
Laundry Day,sunflower_swan_pods,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41875524
Law of Reciprocity,ETL_Echo_Audiobooks,"Xeline, LucidLucy",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41115882
leave it to the ferret,seeking_semperfiona,smirkingcat ,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/12714783
Leave your dignity at the tone ,JocundaSykes,Theartfulldodger,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/31887427
leaving houses behind,JocundaSykes,porcelainsalt (bluedreaming),Regulus Black/James Potter,https://archiveofourown.org/works/44121978
Left and Leaving,EllaMcSmellBella,Gyzym,"Sirius Black, Regulus Black, Orion Black",https://archiveofourown.org/works/41206395
Let Nothing You Dismay,starduchess,eevilalice,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/1096250
Let Sleeping Dogs Lie - TTS,BurningAurora,Krethes,Sirius Black/Remus Lupin,https://open.spotify.com/episode/40LPTsDpxl0ra3CaarCPJX?si=884bf3a6f8ee4ed4
"Let There Be Light: Light, The Best Latkes & Gifts",BurningAurora,sliebman10,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43759557
Lettered,JocundaSykes,pir8fancier,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/31625996
Letters Through Time,JocundaSykes,JulietsEmoPhase,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/38849859
Letters Through Time,micha_making_podfics,JulietsEmoPhase,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/0nR6xdgtFUgynAH743b6DG?si=02df8ad8cf5941f5
Letters Without Answers,fire_juggler,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/6304477
Libiamo! (amor fra' calici più caldi baci avrà),khasael,Cailynwrites,Pansy Parkinson/Ron Weasley,https://archiveofourown.org/works/54181825
Library of Alexandria,Dramione Audio Fics,SenLinYu,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/71AhV7WoFRrlFzHdPqhdJC?si=fd18994d23b74cce
Licking a Path to You,ETL_Echo_Audiobooks,drarryruinedme7,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/45744289
Lie With Me,Flowerparrish Pods,mightbewriting,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43533813
Life begins at night,Podfics by Juuls,noxsoulmate,Hermione Granger/Bill Weasley,https://archiveofourown.org/works/47205787
Life Imitates Art,EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385520
Like A Virgin,reena_jenkins,FayJay,Neville Longbottom/Draco Malfoy,https://archiveofourown.org/works/19810879
"Like Paper, Like a Flame",RattleandHum,louisfake,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/38997705
Like You Already Knew,Amanita_Fierce,cmere,Sirius Black/Remus Lupin,https://archiveofourown.org/works/53711860
Lilac Haze,ETL_Echo_Audiobooks,niffizzle,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43758426
Lily's Boy,reveriepi,SomewheresSword,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/48299005/chapters/121809982
Limerence,EllaMcSmellBella,devdevlin,Hermione Granger/Tom Riddle,https://archiveofourown.org/works/41802501/chapters/104879883
Lionheart,M+G Readings,greenteacup,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/1Jcc4pg8gIC44pXFZ5cjCP?si=d619eef8d1a94bc7
Little One,DemonFeedAudio,meshtams (orphan_account),Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41255979
Little Red Courgette,smirkingcat,blamebrampton,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/34473226
Live Like Common People,blue_string_pudding,blue_string_pudding,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40677048
Living of Love,BurningAurora,inkedstarlight,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44993458
Long live the beautiful hearts (who find love and tear it apart),RattleandHum,Etalice,Harry Potter/Ginny Weasley,https://archiveofourown.org/works/32715292
Loss In The Night,marsmaywander,luvtheheaven,Hermione Granger/Remus Lupin,https://archiveofourown.org/works/11515962
Lost Among And Falling,micha_making_podfics,bafflinghaze,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/6aBhHFS5Q0n40SxPCh7njA?si=0280325651ba4eab
Lost and Found,JocundaSykes,Jetainia,Sirius Black/Kingsley Shacklebolt,https://archiveofourown.org/works/38913546
Lost and Found,ETL_Echo_Audiobooks,Kyonomiko,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/6ljBjLmA4qaHY37k0XfvYL?si=a6d6dfc9f7834a11
Lost in the Middle,Cee5,StarDuchess,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/1982520
Lost in Translation,wilfriede0815,monsieur-hadrien (armanikenma),Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52586527
"Lost, Long Years Ago",BurningAurora,MsAlexWP,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44913070
Love and Other Historical Accidents,meems_toanend,PacificRimbaud,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/49490599/chapters/124905799
Love and Other Historical Accidents,The Dramione Archives,PacificRimbaud,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5QdxZCLp31tNARzE25kTWI?si=6BaL1lp2S2ChmElBnilhmA
Love Flies Delighted,sweaters_in_the_summer,Omi_Ohmy,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/42201759
Love in a Time of the Zombie Apocalypse,ETL_Echo_Audiobooks,rizzlewrites,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40895817
love with eyes wide open,RoastedOats,anonymousmagpie,Tom Riddle & Ginny Weasley,https://archiveofourown.org/works/47806060/chapters/120517876
Love's Curse,JocundaSykes,dracofiend,Harry Potter/Severus Snape,https://archiveofourown.org/works/52612321
Lovelight,ETL_Echo_Audiobooks,sweetestsorrows,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43757862
Lovesick,wilfriede0815,corvuscrowned,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51771463
Loving Deeply,Pods and Filks,BlueSundayCake.,Lily Evans Potter/Severus Snape,https://archiveofourown.org/works/47551378/chapters/119840305
Loving Her Was Green,ETL_Echo_Audiobooks,niffizzle,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41115957
Lumos,ETL_Echo_Audiobooks,birdsofshore,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41439807
Lumos and Lattes,The Dramione Archives,magicalmolly,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3Ko9qv4eROlr3Wg0UAawTK?si=30a062c9bb334bca
Lush Life,JocundaSykes,pir8fancier,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/39096150
M.A.R.Y.S.U.E. Must Die?,picascribit,picascribit,Mary Sue,https://archiveofourown.org/works/926482/chapters/1801121
M.A.R.Y.S.U.E. Must Die?,picascribit,picascribit,"Original Female Character(s), Remus Lupin, Peter Pettigrew, ",https://archiveofourown.org/works/926482/chapters/1801121
Mad About Cats,seeking_semperfiona,enchanted_jae,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/20298226
Make a Move,JocundaSykes,orphan_account,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/33705619
